"Document Name","File size (bytes)","Processing seconds","Pre CPU utilization(%)","Post CPU utilization(%)","Pre Memory utilization(%)","Post Memory utilization(%)","Pre Memory usage(MB)","Post Memory usage(MB)","Pre Load average","Post Load average"
"001.ppt",2566656,"4.34",0,1.49,46.62,46.07,445.8,440.5,"0,0.01,0.05","0.08,0.02,0.06"
"002.pptx",350304,"3.81",0.5,1,46.12,46,441.03,439.84,"0.08,0.02,0.06","0.23,0.06,0.07"
"003.ppt",3354112,"5.73",1.49,0.5,45.95,45.76,439.34,437.53,"0.23,0.06,0.07","0.3,0.07,0.07"
"004.pptx",561396,"6.02",1.51,0,45.86,46.04,438.56,440.26,"0.3,0.07,0.07","0.4,0.1,0.08"
"005.ppt",1124352,"2.69",0.5,0,45.92,46.1,439.13,440.82,"0.4,0.1,0.08","0.4,0.1,0.08"
"006.pptx",784983,"3.81",2,0.5,45.87,46.09,438.63,440.68,"0.37,0.1,0.08","0.37,0.1,0.08"
"007.ppt",2894336,"3.51",0.5,0,45.99,46.13,439.79,441.09,"0.34,0.1,0.08","0.34,0.1,0.08"
"008.pptx",2312605,"4.12",0.5,0.5,46.04,46.33,440.25,443.02,"0.34,0.1,0.08","0.39,0.12,0.09"
"009.ppt",2827776,"2.72",1,1.49,46.08,46,440.65,439.87,"0.39,0.12,0.09","0.44,0.13,0.09"
"010.pptx",1165523,"2.9",1,0.5,46.04,46.3,440.22,442.7,"0.44,0.13,0.09","0.48,0.14,0.1"
"011.ppt",4678656,"3.1",1,0.5,46.18,46.27,441.55,442.45,"0.48,0.14,0.1","0.44,0.14,0.1"
"012.pptx",3856359,"3.92",1.49,0.5,46.23,46.25,442.02,442.21,"0.44,0.14,0.1","0.41,0.14,0.1"
"013.ppt",10754560,"8.04",0.5,0.51,46.17,46.27,441.43,442.39,"0.41,0.14,0.1","0.46,0.15,0.1"
"014.pptx",5272400,"9.97",1,0.5,46.16,44.5,441.36,425.46,"0.42,0.15,0.1","0.43,0.16,0.1"
"015.ppt",12180992,"4.22",1,0,44.5,44.75,425.54,427.92,"0.43,0.16,0.1","0.39,0.16,0.1"
"016.pptx",3007777,"3.78",0.5,0.5,44.68,44.61,427.21,426.55,"0.39,0.16,0.1","0.36,0.16,0.1"
"017.ppt",2565120,"3.12",0,0,44.65,44.85,426.9,428.81,"0.36,0.16,0.1","0.36,0.16,0.1"
"018.pptx",129410,"5.37",0.99,0.5,44.75,44.68,427.92,427.25,"0.33,0.15,0.1","0.31,0.15,0.1"
"019.ppt",3043840,"4",0.5,0.5,44.77,45.13,428.08,431.52,"0.31,0.15,0.1","0.28,0.15,0.1"
"020.pptx",1830594,"4.74",1,1.5,44.95,45.01,429.81,430.42,"0.28,0.15,0.1","0.34,0.16,0.1"
"021.ppt",6764032,"4.04",0.5,2.5,44.9,44.94,429.3,429.73,"0.34,0.16,0.1","0.39,0.18,0.11"
"022.pptx",38588797,"4.69",0.51,0.5,44.48,43.94,425.28,420.15,"0.39,0.18,0.11","0.44,0.19,0.11"
"023.ppt",25593344,"10.61",1,0.5,43.96,42.55,420.33,406.88,"0.44,0.19,0.11","0.53,0.22,0.12"
"024.pptx",60508974,"13.41",1,0.51,42.55,40.09,406.83,383.36,"0.53,0.22,0.12","0.79,0.29,0.15"
"025.ppt",323584,"3.18",1.01,0.5,40.27,40.28,385.1,385.2,"0.79,0.29,0.15","0.8,0.3,0.15"
"026.pptx",55108,"2.6",0.5,0,40.22,40.33,384.58,385.66,"0.8,0.3,0.15","0.82,0.31,0.16"
"027.ppt",4392960,"4.97",0,1,40.22,40.34,384.61,385.7,"0.82,0.31,0.16","0.83,0.33,0.16"
"028.pptx",1979911,"4.79",1,0,40.14,40.47,383.84,386.98,"0.83,0.33,0.16","0.85,0.34,0.17"
"029.ppt",11256832,"3.46",0,1.5,40.38,40.39,386.09,386.19,"0.85,0.34,0.17","0.86,0.35,0.17"
"030.pptx",5366891,"4.13",0,0,40.39,40.55,386.25,387.77,"0.86,0.35,0.17","0.87,0.36,0.18"
